case_id,drug,disease,category,standard_gold,epistemic_gold,prediction,epistemic_prediction,recommendation,is_correct_standard,is_correct_epistemic,runtime_seconds,support_score,opposition_score,opposition_level,decision_rule,qualified_negative_claim_count,failure_type,primary_explanation
TC-052,Nivolumab,Glioblastoma,Category D: Cancer / subtype / biomarker / clinical evidence,OPPOSE,OPPOSE,UNCERTAIN,UNCERTAIN,UNCERTAIN,False,False,37.01,0.9861,0.0,NONE,"Rule 1c (LITERATURE SIGNAL WITHOUT THERAPEUTIC ANCHOR): Support score reflects literature co-mentions (SS = 0.986, from 56 record(s)) and mechanistic plausibility (MS = 0.449), but no pair-specific clinical trial success or approved therapeutic indication was found. Promoting to UNCERTAIN pending human clinical validation of this drug-disease pair.",0,FALSE_UNCERTAIN_ON_NEGATIVE,Failed/futility clinical trial evidence was not converted to opposition (OppScore=0.0)
TC-053,Pembrolizumab,Glioblastoma,Category D: Cancer / subtype / biomarker / clinical evidence,OPPOSE,OPPOSE,UNCERTAIN,UNCERTAIN,UNCERTAIN,False,False,32.22,0.985,0.0,NONE,"Rule 1c (LITERATURE SIGNAL WITHOUT THERAPEUTIC ANCHOR): Support score reflects literature co-mentions (SS = 0.985, from 56 record(s)) and mechanistic plausibility (MS = 0.449), but no pair-specific clinical trial success or approved therapeutic indication was found. Promoting to UNCERTAIN pending human clinical validation of this drug-disease pair.",0,FALSE_UNCERTAIN_ON_NEGATIVE,Failed/futility clinical trial evidence was not converted to opposition (OppScore=0.0)
TC-054,Bevacizumab,Glioblastoma,Category D: Cancer / subtype / biomarker / clinical evidence,SUPPORT,SUPPORT,SUPPORT,SUPPORT,PROMISING,True,True,49.34,0.9878,0.0,NONE,"Rule -1 (APPROVED INDICATION ANCHOR): ChEMBL indication data indicates this drug is approved (max_phase_for_ind = 4) for an indication matching 'Glioblastoma' (regulatory confidence 100%). Matched ChEMBL term: 'glioblastoma'. Approval recorded as positive therapeutic anchor. Downstream safety, opposition, and conflict rules are evaluated.",0,NONE,Prediction matches ground truth.
TC-055,Erlotinib,Non-small-cell lung cancer,Category D: Cancer / subtype / biomarker / clinical evidence,SUPPORT,SUPPORT,SUPPORT,SUPPORT,PROMISING,True,True,34.1,0.9874,0.0,NONE,"Rule -1 (APPROVED INDICATION ANCHOR): ChEMBL indication data indicates this drug is approved (max_phase_for_ind = 4) for an indication matching 'Non-small-cell lung cancer' (regulatory confidence 67%). Matched ChEMBL term: 'non-small cell lung carcinoma'. Approval recorded as positive therapeutic anchor. Downstream safety, opposition, and conflict rules are evaluated.",0,NONE,Prediction matches ground truth.
TC-056,Gefitinib,EGFR-positive lung cancer,Category D: Cancer / subtype / biomarker / clinical evidence,SUPPORT,SUPPORT,OPPOSE,OPPOSE,NOT_RECOMMENDED,False,False,35.67,0.953,0.0,NONE,Rule 2b (DIRECTIONAL OPPOSITION VETO): Directional evidence indicates target opposition. NOT RECOMMENDED due to directional therapeutic conflict.,0,FALSE_OPPOSE,"System predicted OPPOSE (OppScore=0.0, Level=NONE) against an established/approved indication."
TC-057,Osimertinib,EGFR-mutant lung cancer,Category D: Cancer / subtype / biomarker / clinical evidence,SUPPORT,SUPPORT,UNCERTAIN,UNCERTAIN,UNCERTAIN,False,False,30.05,0.986,0.0,NONE,"Rule 5 (UNCERTAIN): Mixed or sparse evidence. SS=0.986, MS=0.000, RS=0.000. Safety grade: A.",0,FALSE_UNCERTAIN_ON_POSITIVE,"Approved or established therapy failed positive gate: SS=0.986, Gate=Rule 5 (UNCERTAIN): Mixed or sparse evidence. SS=0.986, MS=0.000, RS=0.000. Safety grade: A."
TC-058,Crizotinib,ALK-positive lung cancer,Category D: Cancer / subtype / biomarker / clinical evidence,SUPPORT,SUPPORT,OPPOSE,OPPOSE,NOT_RECOMMENDED,False,False,62.08,0.9874,0.2656,MODERATE,Rule 0 (SAFETY VETO): ⚠ Boxed warning / contraindication detected. Risk Score = 0.763. Safety grade: D. NOT RECOMMENDED due to unacceptable safety profile / disease contraindication.,1,FALSE_OPPOSE,"System predicted OPPOSE (OppScore=0.266, Level=MODERATE) against an established/approved indication."
TC-059,Bortezomib,Multiple myeloma,Category D: Cancer / subtype / biomarker / clinical evidence,SUPPORT,SUPPORT,SUPPORT,SUPPORT,PROMISING,True,True,47.72,0.9898,0.0,NONE,"Rule -1 (APPROVED INDICATION ANCHOR): ChEMBL indication data indicates this drug is approved (max_phase_for_ind = 4) for an indication matching 'Multiple myeloma' (regulatory confidence 100%). Matched ChEMBL term: 'multiple myeloma'. Approval recorded as positive therapeutic anchor. Downstream safety, opposition, and conflict rules are evaluated.",0,NONE,Prediction matches ground truth.
TC-060,Lenalidomide,Multiple myeloma,Category D: Cancer / subtype / biomarker / clinical evidence,SUPPORT,SUPPORT,SUPPORT,SUPPORT,PROMISING,True,True,34.69,0.9882,0.0,NONE,"Rule -1 (APPROVED INDICATION ANCHOR): ChEMBL indication data indicates this drug is approved (max_phase_for_ind = 4) for an indication matching 'Multiple myeloma' (regulatory confidence 100%). Matched ChEMBL term: 'multiple myeloma'. Approval recorded as positive therapeutic anchor. Downstream safety, opposition, and conflict rules are evaluated.",0,NONE,Prediction matches ground truth.
TC-061,Bevacizumab,Age-related macular degeneration,Category E: Mechanistic / off-label / multi-target,SUPPORT,SUPPORT,SUPPORT,SUPPORT,PROMISING,True,True,32.31,0.9857,0.0,NONE,"Rule -1 (APPROVED INDICATION ANCHOR): ChEMBL indication data indicates this drug is approved (max_phase_for_ind = 4) for an indication matching 'Age-related macular degeneration' (regulatory confidence 40%). Matched ChEMBL term: 'wet macular degeneration'. Approval recorded as positive therapeutic anchor. Downstream safety, opposition, and conflict rules are evaluated.",0,NONE,Prediction matches ground truth.
TC-062,Ranibizumab,Age-related macular degeneration,Category E: Mechanistic / off-label / multi-target,SUPPORT,SUPPORT,SUPPORT,SUPPORT,PROMISING,True,True,28.06,0.9942,0.0,NONE,"Rule -1 (APPROVED INDICATION ANCHOR): ChEMBL indication data indicates this drug is approved (max_phase_for_ind = 4) for an indication matching 'Age-related macular degeneration' (regulatory confidence 100%). Matched ChEMBL term: 'wet macular degeneration'. Approval recorded as positive therapeutic anchor. Downstream safety, opposition, and conflict rules are evaluated.",0,NONE,Prediction matches ground truth.
TC-063,Latanoprost,Glaucoma,Category E: Mechanistic / off-label / multi-target,SUPPORT,SUPPORT,SUPPORT,SUPPORT,PROMISING,True,True,59.11,0.989,0.0,NONE,"Rule -1 (APPROVED INDICATION ANCHOR): ChEMBL indication data indicates this drug is approved (max_phase_for_ind = 4) for an indication matching 'Glaucoma' (regulatory confidence 100%). Matched ChEMBL term: 'glaucoma'. Approval recorded as positive therapeutic anchor. Downstream safety, opposition, and conflict rules are evaluated.",0,NONE,Prediction matches ground truth.
TC-064,Timolol,Glaucoma,Category E: Mechanistic / off-label / multi-target,SUPPORT,SUPPORT,SUPPORT,SUPPORT,PROMISING,True,True,31.7,0.9894,0.0,NONE,"Rule -1 (APPROVED INDICATION ANCHOR): ChEMBL indication data indicates this drug is approved (max_phase_for_ind = 4) for an indication matching 'Glaucoma' (regulatory confidence 100%). Matched ChEMBL term: 'glaucoma'. Approval recorded as positive therapeutic anchor. Downstream safety, opposition, and conflict rules are evaluated.",0,NONE,Prediction matches ground truth.
TC-065,Sildenafil,Pulmonary arterial hypertension,Category E: Mechanistic / off-label / multi-target,SUPPORT,SUPPORT,OPPOSE,OPPOSE,NOT_RECOMMENDED,False,False,30.77,0.9878,0.2656,MODERATE,"Rule -1 (APPROVED INDICATION ANCHOR): ChEMBL indication data indicates this drug is approved (max_phase_for_ind = 4) for an indication matching 'Pulmonary arterial hypertension' (regulatory confidence 100%). Matched ChEMBL term: 'pulmonary arterial hypertension'. Approval recorded as positive therapeutic anchor. Downstream safety, opposition, and conflict rules are evaluated.",1,FALSE_OPPOSE,"System predicted OPPOSE (OppScore=0.266, Level=MODERATE) against an established/approved indication."
TC-066,Sildenafil,Alzheimer's disease,Category E: Mechanistic / off-label / multi-target,OPPOSE,UNCERTAIN,UNCERTAIN,UNCERTAIN,UNCERTAIN,False,True,33.89,0.9837,0.0,NONE,"Rule 5 (UNCERTAIN): Mixed or sparse evidence. SS=0.984, MS=0.000, RS=0.213. Safety grade: C.",0,FALSE_UNCERTAIN_ON_NEGATIVE,Failed/futility clinical trial evidence was not converted to opposition (OppScore=0.0)
TC-067,Sildenafil,Heart failure,Category E: Mechanistic / off-label / multi-target,OPPOSE,OPPOSE,UNCERTAIN,UNCERTAIN,UNCERTAIN,False,False,30.51,0.9861,0.0,NONE,"Rule 5 (UNCERTAIN): Mixed or sparse evidence. SS=0.986, MS=0.378, RS=0.000. Safety grade: A.",0,FALSE_UNCERTAIN_ON_NEGATIVE,Failed/futility clinical trial evidence was not converted to opposition (OppScore=0.0)
TC-068,Spironolactone,Heart failure,Category E: Mechanistic / off-label / multi-target,SUPPORT,SUPPORT,SUPPORT,SUPPORT,PROMISING,True,True,32.46,0.989,0.3187,MODERATE,"Rule -1 (APPROVED INDICATION ANCHOR): ChEMBL indication data indicates this drug is approved (max_phase_for_ind = 4) for an indication matching 'Heart failure' (regulatory confidence 100%). Matched ChEMBL term: 'heart failure'. Approval recorded as positive therapeutic anchor. Downstream safety, opposition, and conflict rules are evaluated.",1,NONE,Prediction matches ground truth.
TC-069,Digoxin,Heart failure,Category E: Mechanistic / off-label / multi-target,SUPPORT,SUPPORT,SUPPORT,SUPPORT,PROMISING,True,True,27.08,0.9665,0.0,NONE,"Rule -1 (APPROVED INDICATION ANCHOR): ChEMBL indication data indicates this drug is approved (max_phase_for_ind = 4) for an indication matching 'Heart failure' (regulatory confidence 100%). Matched ChEMBL term: 'heart failure'. Approval recorded as positive therapeutic anchor. Downstream safety, opposition, and conflict rules are evaluated.",0,NONE,Prediction matches ground truth.
TC-070,Verapamil,Migraine,Category E: Mechanistic / off-label / multi-target,UNCERTAIN,UNCERTAIN,UNCERTAIN,UNCERTAIN,UNCERTAIN,True,True,32.62,0.952,0.0,NONE,"Rule 5 (UNCERTAIN): Mixed or sparse evidence. SS=0.952, MS=0.293, RS=0.058. Safety grade: B.",0,NONE,Prediction matches ground truth.
TC-071,Dapagliflozin,Heart failure,Category F: Multi-target / metabolic / cardiovascular,SUPPORT,SUPPORT,SUPPORT,SUPPORT,PROMISING,True,True,28.27,0.9665,0.3187,MODERATE,"Rule -1 (APPROVED INDICATION ANCHOR): ChEMBL indication data indicates this drug is approved (max_phase_for_ind = 4) for an indication matching 'Heart failure' (regulatory confidence 100%). Matched ChEMBL term: 'heart failure'. Approval recorded as positive therapeutic anchor. Downstream safety, opposition, and conflict rules are evaluated.",1,NONE,Prediction matches ground truth.
TC-072,Empagliflozin,Heart failure,Category F: Multi-target / metabolic / cardiovascular,SUPPORT,SUPPORT,SUPPORT,SUPPORT,PROMISING,True,True,44.97,0.9699,0.3187,MODERATE,"Rule -1 (APPROVED INDICATION ANCHOR): ChEMBL indication data indicates this drug is approved (max_phase_for_ind = 4) for an indication matching 'Heart failure' (regulatory confidence 100%). Matched ChEMBL term: 'heart failure'. Approval recorded as positive therapeutic anchor. Downstream safety, opposition, and conflict rules are evaluated.",1,NONE,Prediction matches ground truth.
TC-073,Semaglutide,Type 2 diabetes,Category F: Multi-target / metabolic / cardiovascular,SUPPORT,SUPPORT,SUPPORT,SUPPORT,PROMISING,True,True,32.16,0.9624,0.3187,MODERATE,"Rule -1 (APPROVED INDICATION ANCHOR): ChEMBL indication data indicates this drug is approved (max_phase_for_ind = 4) for an indication matching 'Type 2 diabetes' (regulatory confidence 75%). Matched ChEMBL term: 'type 2 diabetes mellitus'. Approval recorded as positive therapeutic anchor. Downstream safety, opposition, and conflict rules are evaluated.",1,NONE,Prediction matches ground truth.
TC-074,Semaglutide,Alzheimer's disease,Category F: Multi-target / metabolic / cardiovascular,OPPOSE,UNCERTAIN,UNCERTAIN,UNCERTAIN,UNCERTAIN,False,True,32.54,0.9583,0.0,NONE,"Rule 5 (UNCERTAIN): Mixed or sparse evidence. SS=0.958, MS=0.353, RS=0.000. Safety grade: A.",0,FALSE_UNCERTAIN_ON_NEGATIVE,Failed/futility clinical trial evidence was not converted to opposition (OppScore=0.0)
TC-075,Pioglitazone,Alzheimer's disease,Category F: Multi-target / metabolic / cardiovascular,OPPOSE,OPPOSE,OPPOSE,OPPOSE,NOT_RECOMMENDED,True,True,58.72,0.9861,0.512,HIGH,Rule 0 (SAFETY VETO): ⚠ Boxed warning / contraindication detected. Risk Score = 0.862. Safety grade: D. NOT RECOMMENDED due to unacceptable safety profile / disease contraindication.,2,NONE,Prediction matches ground truth.
TC-076,Statin,Sepsis,Category F: Multi-target / metabolic / cardiovascular,OPPOSE,OPPOSE,UNCERTAIN,UNCERTAIN,UNCERTAIN,False,False,35.27,0.9537,0.0,NONE,"Rule 5 (UNCERTAIN): Mixed or sparse evidence. SS=0.954, MS=0.000, RS=0.000. Safety grade: A.",0,FALSE_UNCERTAIN_ON_NEGATIVE,Failed/futility clinical trial evidence was not converted to opposition (OppScore=0.0)
TC-077,Atorvastatin,Cardiovascular disease,Category F: Multi-target / metabolic / cardiovascular,SUPPORT,SUPPORT,SUPPORT,SUPPORT,PROMISING,True,True,28.63,0.964,0.0,NONE,"Rule -1 (APPROVED INDICATION ANCHOR): ChEMBL indication data indicates this drug is approved (max_phase_for_ind = 4) for an indication matching 'Cardiovascular disease' (regulatory confidence 100%). Matched ChEMBL term: 'cardiovascular disease'. Approval recorded as positive therapeutic anchor. Downstream safety, opposition, and conflict rules are evaluated.",0,NONE,Prediction matches ground truth.
TC-078,Simvastatin,Cardiovascular disease,Category F: Multi-target / metabolic / cardiovascular,SUPPORT,SUPPORT,SUPPORT,SUPPORT,PROMISING,True,True,30.63,0.964,0.3187,MODERATE,"Rule -1 (APPROVED INDICATION ANCHOR): ChEMBL indication data indicates this drug is approved (max_phase_for_ind = 4) for an indication matching 'Cardiovascular disease' (regulatory confidence 100%). Matched ChEMBL term: 'cardiovascular disease'. Approval recorded as positive therapeutic anchor. Downstream safety, opposition, and conflict rules are evaluated.",1,NONE,Prediction matches ground truth.
TC-079,Fenofibrate,Cardiovascular disease,Category F: Multi-target / metabolic / cardiovascular,OPPOSE,OPPOSE,SUPPORT,SUPPORT,PROMISING,False,False,31.53,0.9665,0.0,NONE,"Rule -1 (APPROVED INDICATION ANCHOR): ChEMBL indication data indicates this drug is approved (max_phase_for_ind = 4) for an indication matching 'Cardiovascular disease' (regulatory confidence 100%). Matched ChEMBL term: 'cardiovascular disease'. Approval recorded as positive therapeutic anchor. Downstream safety, opposition, and conflict rules are evaluated.",0,FALSE_PROMISING,"System predicted SUPPORT (SS=0.967, Gate=Rule -1 (APPROVED INDICATION ANCHOR): ChEMBL indication data indicates this drug is approved (max_phase_for_ind = 4) for an indication matching 'Cardiovascular disease' (regulatory confidence 100%). Matched ChEMBL term: 'cardiovascular disease'. Approval recorded as positive therapeutic anchor. Downstream safety, opposition, and conflict rules are evaluated.) without sufficient evidentiary basis or despite negative evidence."
TC-080,Ezetimibe,Cardiovascular disease,Category F: Multi-target / metabolic / cardiovascular,SUPPORT,SUPPORT,SUPPORT,SUPPORT,PROMISING,True,True,43.91,0.9665,0.3187,MODERATE,"Rule -1 (APPROVED INDICATION ANCHOR): ChEMBL indication data indicates this drug is approved (max_phase_for_ind = 4) for an indication matching 'Cardiovascular disease' (regulatory confidence 100%). Matched ChEMBL term: 'cardiovascular disease'. Approval recorded as positive therapeutic anchor. Downstream safety, opposition, and conflict rules are evaluated.",1,NONE,Prediction matches ground truth.
TC-081,Warfarin,Bleeding disorder,Category G: Safety / veto / contradiction,OPPOSE,OPPOSE,UNCERTAIN,UNCERTAIN,UNCERTAIN,False,False,33.47,0.9553,0.0,NONE,"Rule 5 (UNCERTAIN): Mixed or sparse evidence. SS=0.955, MS=0.000, RS=0.000. Safety grade: A.",0,FALSE_UNCERTAIN_ON_NEGATIVE,Failed/futility clinical trial evidence was not converted to opposition (OppScore=0.0)
TC-082,Aspirin,Hemorrhagic stroke,Category G: Safety / veto / contradiction,OPPOSE,OPPOSE,SUPPORT,SUPPORT,PROMISING,False,False,27.45,0.9592,0.0,NONE,"Rule -1 (APPROVED INDICATION ANCHOR): ChEMBL indication data indicates this drug is approved (max_phase_for_ind = 4) for an indication matching 'Hemorrhagic stroke' (regulatory confidence 60%). Matched ChEMBL term: 'stroke'. Approval recorded as positive therapeutic anchor. Downstream safety, opposition, and conflict rules are evaluated.",0,FALSE_PROMISING,"System predicted SUPPORT (SS=0.959, Gate=Rule -1 (APPROVED INDICATION ANCHOR): ChEMBL indication data indicates this drug is approved (max_phase_for_ind = 4) for an indication matching 'Hemorrhagic stroke' (regulatory confidence 60%). Matched ChEMBL term: 'stroke'. Approval recorded as positive therapeutic anchor. Downstream safety, opposition, and conflict rules are evaluated.) without sufficient evidentiary basis or despite negative evidence."
TC-083,NSAIDs,Peptic ulcer disease,Category G: Safety / veto / contradiction,OPPOSE,OPPOSE,UNCERTAIN,UNCERTAIN,UNCERTAIN,False,False,42.43,0.9537,0.0,NONE,"Rule 1c (LITERATURE SIGNAL WITHOUT THERAPEUTIC ANCHOR): Support score reflects literature co-mentions (SS = 0.954, from 42 record(s)) and mechanistic plausibility (MS = 0.490), but no pair-specific clinical trial success or approved therapeutic indication was found. Promoting to UNCERTAIN pending human clinical validation of this drug-disease pair.",0,FALSE_UNCERTAIN_ON_NEGATIVE,Failed/futility clinical trial evidence was not converted to opposition (OppScore=0.0)
TC-084,Methotrexate,Pregnancy-related condition,Category G: Safety / veto / contradiction,OPPOSE,OPPOSE,UNCERTAIN,UNCERTAIN,UNCERTAIN,False,False,35.05,0.9104,0.0,NONE,"Rule 5 (UNCERTAIN): Mixed or sparse evidence. SS=0.910, MS=0.000, RS=0.058. Safety grade: B.",0,FALSE_UNCERTAIN_ON_NEGATIVE,Failed/futility clinical trial evidence was not converted to opposition (OppScore=0.0)
TC-085,Isotretinoin,Pregnancy,Category G: Safety / veto / contradiction,OPPOSE,OPPOSE,UNCERTAIN,UNCERTAIN,UNCERTAIN,False,False,77.37,0.9553,0.0,NONE,"Rule 5 (UNCERTAIN): Mixed or sparse evidence. SS=0.955, MS=0.357, RS=0.000. Safety grade: A.",0,FALSE_UNCERTAIN_ON_NEGATIVE,Failed/futility clinical trial evidence was not converted to opposition (OppScore=0.0)
TC-086,Clozapine,Schizophrenia,Category G: Safety / veto / contradiction,SUPPORT,SUPPORT,SUPPORT,SUPPORT,PROMISING,True,True,63.27,0.9869,0.0,NONE,"Rule -1 (APPROVED INDICATION ANCHOR): ChEMBL indication data indicates this drug is approved (max_phase_for_ind = 4) for an indication matching 'Schizophrenia' (regulatory confidence 100%). Matched ChEMBL term: 'schizophrenia'. Approval recorded as positive therapeutic anchor. Downstream safety, opposition, and conflict rules are evaluated.",0,NONE,Prediction matches ground truth.
TC-087,Thalidomide,Multiple myeloma,Category G: Safety / veto / contradiction,SUPPORT,SUPPORT,SUPPORT,SUPPORT,PROMISING,True,True,27.14,0.9665,0.0,NONE,"Rule -1 (APPROVED INDICATION ANCHOR): ChEMBL indication data indicates this drug is approved (max_phase_for_ind = 4) for an indication matching 'Multiple myeloma' (regulatory confidence 100%). Matched ChEMBL term: 'multiple myeloma'. Approval recorded as positive therapeutic anchor. Downstream safety, opposition, and conflict rules are evaluated.",0,NONE,Prediction matches ground truth.
TC-088,Doxorubicin,Cardiomyopathy,Category G: Safety / veto / contradiction,OPPOSE,OPPOSE,UNCERTAIN,UNCERTAIN,UNCERTAIN,False,False,59.52,0.9798,0.0,NONE,"Rule 5 (UNCERTAIN): Mixed or sparse evidence. SS=0.980, MS=0.000, RS=0.000. Safety grade: A.",0,FALSE_UNCERTAIN_ON_NEGATIVE,Failed/futility clinical trial evidence was not converted to opposition (OppScore=0.0)
TC-089,Digoxin,Atrial fibrillation,Category G: Safety / veto / contradiction,SUPPORT,SUPPORT,UNCERTAIN,UNCERTAIN,UNCERTAIN,False,False,33.4,0.9665,0.0,NONE,"Rule -1 (APPROVED INDICATION ANCHOR): ChEMBL indication data indicates this drug is approved (max_phase_for_ind = 4) for an indication matching 'Atrial fibrillation' (regulatory confidence 100%). Matched ChEMBL term: 'atrial fibrillation'. Approval recorded as positive therapeutic anchor. Downstream safety, opposition, and conflict rules are evaluated.",0,FALSE_UNCERTAIN_ON_POSITIVE,"Approved or established therapy failed positive gate: SS=0.967, Gate=Rule -1 (APPROVED INDICATION ANCHOR): ChEMBL indication data indicates this drug is approved (max_phase_for_ind = 4) for an indication matching 'Atrial fibrillation' (regulatory confidence 100%). Matched ChEMBL term: 'atrial fibrillation'. Approval recorded as positive therapeutic anchor. Downstream safety, opposition, and conflict rules are evaluated."
TC-090,Amiodarone,Atrial fibrillation,Category G: Safety / veto / contradiction,SUPPORT,SUPPORT,UNCERTAIN,UNCERTAIN,UNCERTAIN,False,False,46.51,0.962,0.0,NONE,"Rule 5 (UNCERTAIN): Mixed or sparse evidence. SS=0.962, MS=0.393, RS=0.213. Safety grade: C.",0,FALSE_UNCERTAIN_ON_POSITIVE,"Approved or established therapy failed positive gate: SS=0.962, Gate=Rule 5 (UNCERTAIN): Mixed or sparse evidence. SS=0.962, MS=0.393, RS=0.213. Safety grade: C."
TC-091,Budesonide/Formoterol,Asthma,Category H: Clinical trial attribution / combination / registry,SUPPORT,SUPPORT,SUPPORT,SUPPORT,PROMISING,True,True,38.3,0.9677,0.3187,MODERATE,"Rule -1 (APPROVED INDICATION ANCHOR): ChEMBL indication data indicates this drug is approved (max_phase_for_ind = 4) for an indication matching 'Asthma' (regulatory confidence 100%). Matched ChEMBL term: 'asthma'. Approval recorded as positive therapeutic anchor. Downstream safety, opposition, and conflict rules are evaluated.",1,NONE,Prediction matches ground truth.
TC-092,Budesonide,COPD,Category H: Clinical trial attribution / combination / registry,SUPPORT,SUPPORT,UNCERTAIN,UNCERTAIN,UNCERTAIN,False,False,34.0,0.9553,0.0,NONE,"Rule 1c (LITERATURE SIGNAL WITHOUT THERAPEUTIC ANCHOR): Support score reflects literature co-mentions (SS = 0.955, from 43 record(s)) and mechanistic plausibility (MS = 0.490), but no pair-specific clinical trial success or approved therapeutic indication was found. Promoting to UNCERTAIN pending human clinical validation of this drug-disease pair.",0,FALSE_UNCERTAIN_ON_POSITIVE,"Approved or established therapy failed positive gate: SS=0.955, Gate=Rule 1c (LITERATURE SIGNAL WITHOUT THERAPEUTIC ANCHOR): Support score reflects literature co-mentions (SS = 0.955, from 43 record(s)) and mechanistic plausibility (MS = 0.490), but no pair-specific clinical trial success or approved therapeutic indication was found. Promoting to UNCERTAIN pending human clinical validation of this drug-disease pair."
TC-093,Metformin,Type 2 diabetes,Category H: Clinical trial attribution / combination / registry,SUPPORT,SUPPORT,SUPPORT,SUPPORT,PROMISING,True,True,0.03,0.9867,0.0,NONE,"Rule -1 (APPROVED INDICATION ANCHOR): ChEMBL indication data indicates this drug is approved (max_phase_for_ind = 4) for an indication matching 'Type 2 diabetes' (regulatory confidence 75%). Matched ChEMBL term: 'type 2 diabetes mellitus'. Approval recorded as positive therapeutic anchor. Downstream safety, opposition, and conflict rules are evaluated.",0,NONE,Prediction matches ground truth.
TC-094,Warfarin,Thrombosis,Category H: Clinical trial attribution / combination / registry,SUPPORT,SUPPORT,SUPPORT,SUPPORT,PROMISING,True,True,29.25,0.9665,0.0,NONE,"Rule -1 (APPROVED INDICATION ANCHOR): ChEMBL indication data indicates this drug is approved (max_phase_for_ind = 4) for an indication matching 'Thrombosis' (regulatory confidence 100%). Matched ChEMBL term: 'thrombosis'. Approval recorded as positive therapeutic anchor. Downstream safety, opposition, and conflict rules are evaluated.",0,NONE,Prediction matches ground truth.
TC-095,Heparin,Thrombosis,Category H: Clinical trial attribution / combination / registry,SUPPORT,SUPPORT,SUPPORT,SUPPORT,PROMISING,True,True,35.69,0.964,0.0,NONE,"Rule -1 (APPROVED INDICATION ANCHOR): ChEMBL indication data indicates this drug is approved (max_phase_for_ind = 4) for an indication matching 'Thrombosis' (regulatory confidence 100%). Matched ChEMBL term: 'thrombosis'. Approval recorded as positive therapeutic anchor. Downstream safety, opposition, and conflict rules are evaluated.",0,NONE,Prediction matches ground truth.
TC-096,Placebo,Disease treatment,Category H: Clinical trial attribution / combination / registry,OPPOSE,OPPOSE,UNCERTAIN,UNCERTAIN,UNCERTAIN,False,False,9.09,0.0,0.0,NONE,ERROR,0,ENTITY_RESOLUTION,Entity resolution failed: DrugNotResolvedException: Drug 'Placebo' could not be resolved to a standard identifier.
TC-097,Etanercept,Rheumatoid arthritis,Category H: Clinical trial attribution / combination / registry,SUPPORT,SUPPORT,SUPPORT,SUPPORT,PROMISING,True,True,0.05,0.9878,0.0,NONE,"Rule -1 (APPROVED INDICATION ANCHOR): ChEMBL indication data indicates this drug is approved (max_phase_for_ind = 4) for an indication matching 'Rheumatoid arthritis' (regulatory confidence 100%). Matched ChEMBL term: 'rheumatoid arthritis'. Approval recorded as positive therapeutic anchor. Downstream safety, opposition, and conflict rules are evaluated.",0,NONE,Prediction matches ground truth.
TC-098,Fluticasone,Allergic rhinitis,Category H: Clinical trial attribution / combination / registry,SUPPORT,SUPPORT,SUPPORT,SUPPORT,PROMISING,True,True,0.06,0.9878,0.0,NONE,"Rule -1 (APPROVED INDICATION ANCHOR): ChEMBL indication data indicates this drug is approved (max_phase_for_ind = 4) for an indication matching 'Allergic rhinitis' (regulatory confidence 100%). Matched ChEMBL term: 'allergic rhinitis'. Approval recorded as positive therapeutic anchor. Downstream safety, opposition, and conflict rules are evaluated.",0,NONE,Prediction matches ground truth.
TC-099,Tamoxifen,Breast cancer,Category H: Clinical trial attribution / combination / registry,SUPPORT,SUPPORT,SUPPORT,SUPPORT,PROMISING,True,True,41.59,0.9677,0.3187,MODERATE,"Rule -1 (APPROVED INDICATION ANCHOR): ChEMBL indication data indicates this drug is approved (max_phase_for_ind = 4) for an indication matching 'Breast cancer' (regulatory confidence 100%). Matched ChEMBL term: 'breast cancer'. Approval recorded as positive therapeutic anchor. Downstream safety, opposition, and conflict rules are evaluated.",1,NONE,Prediction matches ground truth.
TC-100,Trastuzumab,HER2-positive breast cancer,Category H: Clinical trial attribution / combination / registry,SUPPORT,SUPPORT,SUPPORT,SUPPORT,PROMISING,True,True,0.04,0.9948,0.0,NONE,"Rule -1 (APPROVED INDICATION ANCHOR): ChEMBL indication data indicates this drug is approved (max_phase_for_ind = 4) for an indication matching 'HER2-positive breast cancer' (regulatory confidence 95%). Matched ChEMBL term: 'breast cancer'. Approval recorded as positive therapeutic anchor. Downstream safety, opposition, and conflict rules are evaluated.",0,NONE,Prediction matches ground truth.
